rollout/env_steps,rollout/agent_steps_total,time/total_timesteps,rollout/active_agents,rollout/episode_alive_agents_end,rollout/episode_agent_steps,rollout/episode_length,rollout/episode_group_reward,train/n_updates,train/current_q_values,train/ent_coef,train/entrQ_2,train/critic_loss,train/actor_loss,train/entrQ_1,train/next_q_values,train/entropy,train/sto_costs,train/terminal_costs,train/run_costs
100,800,100,8,,,,,,,,,,,,,,,,
200,1600,200,8,,,,,,,,,,,,,,,,
300,2400,300,8,,,,,,,,,,,,,,,,
400,3200,400,8,,,,,,,,,,,,,,,,
500,4000,500,8,,,,,,,,,,,,,,,,
600,4800,600,8,,,,,,,,,,,,,,,,
700,5522,700,7,,,,,,,,,,,,,,,,
800,6161,800,5,,,,,,,,,,,,,,,,
900,6661,900,5,,,,,,,,,,,,,,,,
1000,7161,1000,5,,,,,,,,,,,,,,,,
,,,,5,7161,1000,24.58645343851526,,,,,,,,,,,,
1100,7961,1100,8,,,,,,,,,,,,,,,,
1200,8761,1200,8,,,,,,,,,,,,,,,,
1300,9561,1300,8,,,,,,,,,,,,,,,,
1400,10361,1400,8,,,,,,,,,,,,,,,,
1500,11161,1500,8,,,,,,,,,,,,,,,,
1600,11961,1600,8,,,,,,,,,,,,,,,,
1700,12676,1700,7,,,,,,,,,,,,,,,,
1800,13376,1800,7,,,,,,,,,,,,,,,,
1900,14076,1900,7,,,,,,,,,,,,,,,,
2000,14776,2000,7,,,,,,,,,,,,,,,,
,,,,7,7615,1000,48.840364827452184,,,,,,,,,,,,
2100,15576,2100,8,,,,,,,,,,,,,,,,
2200,16376,2200,8,,,,,,,,,,,,,,,,
2300,17176,2300,8,,,,,,,,,,,,,,,,
2400,17976,2400,8,,,,,,,,,,,,,,,,
2500,18776,2500,8,,,,,,,,,,,,,,,,
2600,19576,2600,8,,,,,,,,,,,,,,,,
2700,20376,2700,8,,,,,,,,,,,,,,,,
2800,21176,2800,8,,,,,,,,,,,,,,,,
2900,21976,2900,8,,,,,,,,,,,,,,,,
3000,22776,3000,8,,,,,,,,,,,,,,,,
,,,,8,8000,1000,64.80187461103897,,,,,,,,,,,,
3100,23576,3100,8,,,,,,,,,,,,,,,,
3200,24376,3200,8,,,,,,,,,,,,,,,,
3300,25176,3300,8,,,,,,,,,,,,,,,,
3400,25976,3400,8,,,,,,,,,,,,,,,,
3500,26776,3500,8,,,,,,,,,,,,,,,,
3600,27576,3600,8,,,,,,,,,,,,,,,,
3700,28376,3700,8,,,,,,,,,,,,,,,,
3800,29176,3800,8,,,,,,,,,,,,,,,,
