rollout/env_steps,time/total_timesteps,rollout/agent_steps_total,rollout/active_agents,rollout/episode_group_reward,rollout/episode_agent_steps,rollout/episode_length,rollout/episode_alive_agents_end,train/ent_coef,train/critic_loss,train/current_q_values,train/entrQ_1,train/next_q_values,train/entrQ_2,train/actor_loss,train/n_updates,train/run_costs,train/sto_costs,train/entropy,train/terminal_costs
100,100,800,8,,,,,,,,,,,,,,,,
200,200,1600,8,,,,,,,,,,,,,,,,
300,300,2400,8,,,,,,,,,,,,,,,,
400,400,3200,8,,,,,,,,,,,,,,,,
500,500,4000,8,,,,,,,,,,,,,,,,
600,600,4800,8,,,,,,,,,,,,,,,,
700,700,5582,7,,,,,,,,,,,,,,,,
800,800,6282,7,,,,,,,,,,,,,,,,
900,900,6982,7,,,,,,,,,,,,,,,,
1000,1000,7512,3,,,,,,,,,,,,,,,,
,,,,8.754703973462103,7512,1000,3,,,,,,,,,,,,
1100,1100,8312,8,,,,,,,,,,,,,,,,
1200,1200,9112,8,,,,,,,,,,,,,,,,
1300,1300,9912,8,,,,,,,,,,,,,,,,
1400,1400,10678,7,,,,,,,,,,,,,,,,
1500,1500,11378,7,,,,,,,,,,,,,,,,
1600,1600,12078,7,,,,,,,,,,,,,,,,
1700,1700,12778,7,,,,,,,,,,,,,,,,
1800,1800,13464,6,,,,,,,,,,,,,,,,
1900,1900,14064,6,,,,,,,,,,,,,,,,
2000,2000,14664,6,,,,,,,,,,,,,,,,
,,,,33.51676377782988,7152,1000,6,,,,,,,,,,,,
2100,2100,15464,8,,,,,,,,,,,,,,,,
2200,2200,16264,8,,,,,,,,,,,,,,,,
2300,2300,17064,8,,,,,,,,,,,,,,,,
2400,2400,17864,8,,,,,,,,,,,,,,,,
2500,2500,18664,8,,,,,,,,,,,,,,,,
2600,2600,19464,8,,,,,,,,,,,,,,,,
2700,2700,20264,8,,,,,,,,,,,,,,,,
2800,2800,21064,8,,,,,,,,,,,,,,,,
2900,2900,21864,8,,,,,,,,,,,,,,,,
3000,3000,22664,8,,,,,,,,,,,,,,,,
,,,,64.61050592739785,8000,1000,8,,,,,,,,,,,,
3100,3100,23464,8,,,,,,,,,,,,,,,,
3200,3200,24264,8,,,,,,,,,,,,,,,,
3300,3300,25064,8,,,,,,,,,,,,,,,,
3400,3400,25864,8,,,,,,,,,,,,,,,,
3500,3500,26568,7,,,,,,,,,,,,,,,,
3600,3600,27268,7,,,,,,,,,,,,,,,,
3700,3700,27968,7,,,,,,,,,,,,,,,,
3800,3800,28668,7,,,,,,,,,,,,,,,,
3900,3900,29368,7,,,,,,,,,,,,,,,,
4000,4000,29995,6,,,,,,,,,,,,,,,,
,,,,43.97103572516412,7331,1000,6,,,,,,,,,,,,
4100,4100,30795,8,,,,,,,,,,,,,,,,
4200,4200,31595,8,,,,,,,,,,,,,,,,
4300,4300,32395,8,,,,,,,,,,,,,,,,
4400,4400,33195,8,,,,,,,,,,,,,,,,
4500,4500,33995,8,,,,,,,,,,,,,,,,
4600,4600,34795,8,,,,,,,,,,,,,,,,
4700,4700,35595,8,,,,,,,,,,,,,,,,
4800,4800,36395,8,,,,,,,,,,,,,,,,
4900,4900,37195,8,,,,,,,,,,,,,,,,
5000,5000,37995,8,,,,,1.0,9.487358093261719,-9.78785514831543,4.300841808319092,0.009900989942252636,4.250079154968262,0,2,,,,
,,,,61.502050589380644,8000,1000,8,,,,,,,,,,,,
